model,seed,fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
resnet18,42,1,0.9335227272727272,0.9203980139132191,0.9247248424887906,0.9222405584298001,0.9332888889839019,0.9335227272727272,0.9331556953599046
resnet18,42,2,0.9448863636363637,0.9345295849298205,0.938653117485879,0.9364585053387794,0.9449881514170446,0.9448863636363637,0.9448487855428557
resnet18,42,3,0.9380329732802729,0.9245153631533837,0.9263148831065836,0.9241734246286715,0.9386467292957377,0.9380329732802729,0.9371666808257804
resnet18,42,4,0.9340534394542354,0.9226847671257113,0.9280575822627946,0.9252425767358712,0.9349636679095662,0.9340534394542354,0.9343912705951036
resnet18,42,5,0.9442865264354747,0.9467419980301546,0.9303594849398855,0.9376708167663281,0.9447269874985049,0.9442865264354747,0.9436897508184039
resnet50,42,1,0.9471590909090909,0.9415992862377702,0.924259708217565,0.9321897099640526,0.946795000195203,0.9471590909090909,0.9465524774224142
resnet50,42,2,0.9494318181818182,0.9392775447960351,0.9405062578602801,0.9398768298234906,0.9496011896509895,0.9494318181818182,0.9495032541409721
resnet50,42,3,0.9448550312677658,0.9279046822816192,0.9394101407442557,0.9332233602123554,0.9454470383789734,0.9448550312677658,0.9449505825532336
resnet50,42,4,0.9340534394542354,0.9222157169743547,0.9245031202625713,0.9233129873392734,0.9341162010200016,0.9340534394542354,0.9340513311601837
resnet50,42,5,0.9522455940875497,0.9472242920261058,0.9430448700587671,0.9450871649770236,0.9522348052430579,0.9522455940875497,0.9522191944111765
convnext,42,1,0.9488636363636364,0.9446711149704802,0.9393314778688622,0.9417981741934279,0.9494559330140249,0.9488636363636364,0.9490236535869037
convnext,42,2,0.9494318181818182,0.9433987258162088,0.9367537010679446,0.9398105017246379,0.9492146463761362,0.9494318181818182,0.9490403479845673
convnext,42,3,0.9471290505969301,0.9404723810014036,0.93709670819324,0.9381163658776945,0.9472493852159716,0.9471290505969301,0.9464737034170485
convnext,42,4,0.9380329732802729,0.9322553185937492,0.9144821723840169,0.9225808461311882,0.9377576462537056,0.9380329732802729,0.9374615484108947
convnext,42,5,0.9573621375781695,0.9514808987124035,0.9518456569015552,0.9515482581654418,0.9572677470256415,0.9573621375781695,0.9572005791683964
