marker,model,seed,fold,splitter,train_images,val_images,train_patients,val_patients,loss,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,roc_auc,tn,fp,fn,tp
Her2,resnet18,42,1,StratifiedGroupKFold,15566,5147,40,12,0.08222852016526702,0.9751311443559355,0.9463548830811555,0.9946987951807229,0.9699248120300752,0.971323092248602,0.9783064288403615,0.9743628697447494,0.9987009757781126,2955,117,11,2064
Her2,resnet18,42,2,StratifiedGroupKFold,17424,3289,43,9,0.0018741542853604187,0.9993919124353907,0.993006993006993,1.0,0.9964912280701754,0.9965034965034965,0.9996672212978369,0.9980791692947415,0.9999988282440064,3003,2,0,284
Her2,resnet18,42,3,StratifiedGroupKFold,16147,4566,44,8,0.0005869398031184877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3284,0,0,1282
Her2,resnet18,42,4,StratifiedGroupKFold,16813,3900,41,11,0.004920980933376325,0.9984615384615385,0.9987557030277893,0.9987557030277893,0.9987557030277893,0.9983704640054998,0.9983704640054998,0.9983704640054998,0.9999402503468683,1486,3,3,2408
Her2,resnet18,42,5,StratifiedGroupKFold,16902,3811,40,12,0.004171799533848267,0.998950406717397,1.0,0.9945429740791268,0.9972640218878249,0.99935107073329,0.9972714870395634,0.9983073356192371,0.9999915786637024,3078,0,4,729
ER,resnet18,42,1,StratifiedGroupKFold,20418,5716,47,12,0.1743615630755408,0.9725332400279916,0.98026734563972,0.986336464560205,0.9832925401723954,0.9582293856812758,0.9481100927452187,0.9530713315112591,0.9823557144890407,939,93,64,4620
ER,resnet18,42,2,StratifiedGroupKFold,21543,4591,49,10,0.08748384008261685,0.9751688085384448,0.990041928721174,0.9802802283341983,0.9851368970013038,0.9459887062960709,0.9643599242078047,0.9548700358022393,0.994637195209967,699,38,76,3778
ER,resnet18,42,3,StratifiedGroupKFold,21112,5022,46,13,0.045500432222615926,0.9908403026682596,0.9978858350951374,0.991365227537923,0.9946148442987591,0.974759911011621,0.989576779304918,0.9819945060375287,0.998359111412282,728,9,37,4248
ER,resnet18,42,4,StratifiedGroupKFold,21312,4822,48,11,0.05503652087339249,0.9836167565325591,0.9961193305845258,0.9848920863309353,0.990473893645243,0.9529952876098595,0.9801761045151609,0.9659993450461596,0.9969442850627475,636,16,63,4107
ER,resnet18,42,5,StratifiedGroupKFold,20151,5983,46,13,0.09157766045586384,0.976767507939161,0.9913411196133709,0.9808726838015541,0.986079118678017,0.9484729196886914,0.9681334373364617,0.9579562680719717,0.9931752080682619,921,43,96,4923
